raw_title,canonical_role,onet_code
"Developer, full-stack","Developer, full-stack",
"Developer, back-end","Developer, back-end",
"Developer, front-end","Developer, front-end",
"Developer, desktop or enterprise applications","Developer, desktop or enterprise applications",
Other (please specify):,Other (please specify):,
"Developer, mobile","Developer, mobile",
Engineering manager,Engineering manager,
Student,Student,
"Developer, embedded applications or devices","Developer, embedded applications or devices",
Data scientist or machine learning specialist,Data scientist or machine learning specialist,
DevOps specialist,DevOps specialist,
Academic researcher,Academic researcher,
Research & Development role,Research & Development role,
"Senior Executive (C-Suite, VP, etc.)","Senior Executive (C-Suite, VP, etc.)",
"Engineer, data","Engineer, data",
Cloud infrastructure engineer,Cloud infrastructure engineer,
"Developer, game or graphics","Developer, game or graphics",
Data or business analyst,Data or business analyst,
System administrator,System administrator,
Project manager,Project manager,
"Developer, QA or test","Developer, QA or test",
Security professional,Security professional,
Product manager,Product manager,
"Engineer, site reliability","Engineer, site reliability",
Educator,Educator,
Scientist,Scientist,
Developer Experience,Developer Experience,
Blockchain,Blockchain,
Hardware Engineer,Hardware Engineer,
Designer,Designer,
Database administrator,Database administrator,
Developer Advocate,Developer Advocate,
Marketing or sales professional,Marketing or sales professional,
